question1,question2,is_duplicate
이별.4주년,이별까지의 이야기.,0
학원 다른반에 좋아하는 사람이 있는데 번호를 알고 싶은데 방법 좀 알려주세요.,학원 다른반에 좋아하는 사람이 있는데 번호 어떻게 알아내지,1
만난지 7년 헤어진지 5일째,많이 괜찮아졋지만 여전히 찌질한 모습의 나,0
이제 슬슬 끝이 보이네,이제 일주일이네,0
택배 안와.,택배 왜 안오지?,1
좋아하지 않는데 계속 연락하고 만나는거 가능한가.,좋아하지 않는데 계속 연락하고 만나는거 가능한가.,1
썸 타는 사람 이름 뭐라고 저장할까?,썸 타는 사람 이름 어떻게저장할까?,1
오랜연애로 남자친구가 더 이상 새롭지않은게 고민임.,오랜연애로 남자친구가 더 이상 새롭지않은게 고민임.,1
버스 정류장에서 기다리고 있었어.,버스 정류장에서 기다리던 사람,1
플라토닉 연애 어때?,플라토닉 연애 어때?,1
뭣이 중한지 모르겠어,뭐가 중요한지 모르겠어,1
문 안열림,문이 안열려,1
헤어지기 전으로 돌아가고 싶어.,헤어지는게 서로를 위해 좋은거겠죠?,0
쿠폰 다 모았다.,쿠폰 다 모음,1
맨날 짝사랑만 하다가 끝났는데 연애할 수 있을까?,늘 짝사랑만 하다가 끝났는데 연애할 수 있을까?,1
썸인 거 같은데 연락이 안돼,썸인 거 같은데 연락 안 하면,0
이별 후 6달째. 이제 그만좀 잊고 싶어,이별 후 두달 경과보고서,0
사랑하는 사람 잊어야 할 거 같아,사랑하는 사람 잊어야 할 거 같아,1
아휴.,알고보니 환승이별 인것 같아,0
다시 사랑이 오겠지?,더 알고 싶어 지는 사람이야,0
분노감 ㅠ,불륜이 될까봐 정리하려고.,0
빼빼로 만들어 주면 좋아할까,수제 빼빼로 어때?,1
전화 왜 안오지,벨이 울리는 걸 기다려,1
헤어진 여자친구가 꿈에서 밥을 해주고 가네.,헤어진 여자친구의 생일입니다.,0
동거 하다 걸렸어,아놔 동거하다 걸렸어,1
무기력증 극복하는 방법,무기력증 어떻게 극복하지?,1
비가 오니까 짝사랑 하는 사람 더 생각나.,비가 오는 날 사랑 하는 사람 더 생각나.,1
트래킹 하러 갈까?,등산할까,1
술 먹고 짝녀한테 전화하는 거 싫어하나.,이별 수순을 밟고 있는 거지,0
화장품이 필요해,화장품 사고 싶어,1
헤어져야 하나.,헤어졌는데 가끔 궁금해져,0
이젠 슬픈 사랑,이젠 정말 놔줄라고,0
썸 타는 중에 데이트 비용은 누가?,힘들어서 결혼할까봐,0
남자친구가 먹을 거에 집착해,남친 먹을 거에 너무 집착해,1
좋아하는지 확신이 안들어,좋아하는지 확신이 안들어,1
다정한 사람 만나고싶어,데이트 장소가 항상 고민이야,0
이제는그만하고 싶어,이젠 괜찮을 줄 알았어.,0
전 썸남 보고싶어.,전 썸남 보고 싶어.,1
연예인이랑 사귄다!,연예인이랑 사귄다!,1
동성애 어떻게 생각해,동성애 어떻게 생각해,1
도서관에서 항상 같은 자리에 앉는 여자가 계속 떠올라.,도서관에서 똑 같은 같은 자리에 앉는 여자애 계속 생각나.,1
술 그만 마시라고 해주는 짝녀 무슨 뜻일까요?,스터디에 괜찮은 사람 있어.,1
남자 보통 어디서 만나,남자 어디서 만나,1
까아 오빠들 컴백한다,내가 좋아하는 가수 컴백한다,1
썸인지 애매모호해,썸인지 애매모호해,1
피곤해서 못일어나겠어,피곤해서 하루종일 누워있는 중,1
서로 사랑해,많이 사랑해 ,1
아파트로 이사 가고 싶다.,아파트에서 살고 싶다,1
짝남한테 시덥지 않은 걸로 선톡해도 될까?,짝남한테 시덥지 않은 걸로 선톡해도 될까?,1
나 또 짝남을 2년동안 좋아하는 건가.,나 사랑해서 만나는 거겠지?,0
1년전 그 날,2년 가까이 여친하구 헤어졌습니다,0
약 먹었더니 졸려,약 기운에 졸음이 몰려왔어,1
월세방 비싸,월세 너무 비싸,1
오늘 보름달이야,보름달을 봤어,1
마음에 하나도 안 들어,다 마음에 안 들어,1
이별 400일.,이별 6일째,0
결혼 전에 혼란스러워,결혼 해도 되는지 고민돼,0
나라 사랑 대출 문의,농촌사랑 전자상품권을 현금으로 교환하는 방법 있나요?,0
나만 좋아하는 것 같아,혼자 좋아하는 것 같아,1
이제는 놓아줄꺼라 생각하지만,이제는 정말 끝,0
쓸데 없는 걱정 1위 연예인 걱정,연예인 걱정이 제일 쓸데 없어,1
완벽하게 좀 하고 싶다.,완벽해지는 방법,1
봄이라서 더욱 그리운.,부서진 심장,0
이제 힘내렵니다!,이제는 잡을 수가 없네,0
썸남한테 먼저 연락해도 될까?,썸남한테 먼저 연락해도 될까?,1
잊지마,잊고 싶지 않아,1
어제 헤어지자했어.,어제 결국 이별,1
핸드폰 꺼지기 직전,폰 꺼질라그래,1
연락 계속 오면 관심 있는 거야?,연락 문제로 지쳐가,0
적금 들었어,적금 특판 들었어,1
짝남 잊으려고 나 혼자 나쁘게 생각하는 내 자신이 증오스러워.,짝남 잊으려고 나 혼자 나쁘게 생각하는 내 자신이 증오스러워.,1
헤어졌는데 연락하고 싶어,전여친한테 연락하고 싶어,1
참견쟁이,참아내지 못하고 전화를 했습니다.,0
전화 걸어도 되나,전화해도 되겠지,1
나이 때문에 무시 받았어,나이 어리다고 무시해,1
아침 일찍 일어나 조깅하고 있어,요즘 조깅하고 있어,1
술한잔 해야 하루가 가,쉽지않은 날들,0
아직도 잊지 못했던 거니,아침이 젤 힘드네,0
마음에 드는 여자가 있어요,내 맘에 꼭 드는 여자가 있어요,1
면접 어떻게 잘 보냐,면접 잘보고 싶어,1
먹고 나니까 졸리당,많이 먹었더니 졸려,1
학교 적을하고 잘 다닐 수 있을까?,학교 잘 적을할 수 있을까?,1
5년 연애 이별,5년 종교 문제 결국엔 헤어지네,0
관심 끄라고 하고 싶다.,관심 좀 안 가졌으면,1
야구장 고고,야구장이나 갈까,1
좋아하는게 이렇게 힘들지 몰랐어.,좋아하는게 이렇게 힘들지 몰랐어.,1
도시락 싸가지고 가야지,도시락 싸봐야지,1
좋다가 밉다가 무한반복,좋은꿈 꿨다 생각해,0
우산이 없는데 빌릴까,우산빌려달라고 해볼까?,1
짝녀 생각할수록 정리 되는 느낌.,짝녀 생각할수록 정리 되는 느낌.,1
낙엽 밟는 소리 좋다,낙엽밟는 소리,1
전 남친이랑 헤어진지 오래됐는데 좋아하는 사람이 없어.,헤어진지 오래됐는데 좋아하는 사람이 없어.,1
씻기 싫어,씻기도 귀찮다,1
아무리 바빠도 연락을 해야하는 거 아냐?,아무리 바빠도 연락을 해야하는 거 아냐?,1
짝녀랑 저녁에 보기로 했는데 연락두절임.,짝녀랑 저녁에 보기로 했는데 연락두절임.,1
개강옷 예쁘게 입어 볼까,개강룩 입어볼까,1
길이 미끄러워서 미끄러질뻔했어,길이 얼어서 미끄러질뻔했어,1
회사 체육대회라니,회사 체육대회 가기 싫다,1
남자친구가 누나가 두명이라 그래서 결혼 걱정돼,남자친구가 누나가 두명인데 결혼하면 힘들겠지,1
헤어진지 한달하고 이주 정도 되었네,헤어진지2주가지났네,0
어디론가 훌쩍 떠나고 싶다,어떤 마음이었을까?,0
만나자고 약속 잡는 것도 귀찮아,누굴 만나는 것도 귀찮아,1
썸이랑 친구 사이,썸이랑 친구 사이,1
짝남한테 괜히 만나자고 했나봐.,짝남한테 괜히 만나자고 했나봐.,1
그냥 혼자 있는게 좋아,혼자 있고 싶다,1
짝사랑 해봤어?,짝사랑 해봤어?,1
짝사랑 했던 그에게 여자친구가 생겼어.,짝사랑 했던 그가 떠나갔어.,0
여친 진짜 예쁘다,여자친구가 너무 예뻐,1
고민이 많은데 표현을 못하겠어,고민을 어떻게 표현하지,1
자주 가는 카페에 잘생긴 알바생이 있는데 어떻게 고백하면 좋을까?,어떻게 고백하면 좋을까?,1
한 가지를 봐도 뻔한 것 같아,한 가지를 보면 다른 것은 보지 않아도 알지?,1
집 망한 거 같은데,우리집 망한 거 같은데 나 어떡하지?,1
앞머리 다시 길러볼까,앞머리 길러볼까,1
헤어진지 5개월차 꿀인생삽니다,헤어진지 두 달째인데 힘드네,0
남자친구가 나를 떠날까봐 고민이야.,남자친구가 떠날까봐 고민이야.,1
현재를 즐기면서 살고 싶다.,즐기며 살고 싶어,1
아무말이나 막했어,말조심해야지,1
최악의 소개팅이었어,최악의 소개팅이었어,1
난 왜 예쁘게 말을 못할까,말 예쁘게 하고 싶어,1
괜찮아진 줄 알았는데.,괜찮은 줄 알았는데.,1
고민 있어,고민 좀 들어줄래,1
사랑하는데 외로워,사랑하는 사람 있는데 외로워,1
밖에서 먹으니까 더 맛있어,야외에서 먹으니까 더 맛있어,1
2년 정도를 만났는데 잘 이해가 안가,"2년간의 단거리, 2년간의 장거리, 그리고 이별.",0
자존감 좀 높이고 싶다.,자존감 어떻게 올려?,1
이발 좀 하고 올게,머리 깎고 올게,1
자꾸 꿈에 나와여ㅠ ㅠ,자꾸 심하게 차였는데.생각나네,0
왜 이렇게 무기력하죠,왜나만 힘든 거니,0
남자친구가 집청소를 너무 안해.,남자친구가 집이 너무 더러워.,1
친구들이랑 맛난거 먹고 싶다,친구들이랑 맛집 가고 싶어,1
썸 오래타면 오래 못 사겨?,썸만 오래 타니까 가슴이 탄다.,0
그놈 생일이예요,그땐 몰랐습니다,0
세상 참 모르는 일이네,소개팅 거절도 힘든거네.,0
왜 갑자기 연락했을까?,왜 이제서야 연락했을까?,1
드디어 손 잡음,손 잡았어,1
사랑하는데 내가 집착해,내가 그 사람한테 너무 집착해,1
과거에 얽매여 있어,괜찮다 나는 괜찮다,0
빚 때문에 죽을 것 같아,빚이 너무 많아,1
반 정도는 정리가 된 것 같아,밤마다 미치겠어,0
오늘 까먹고 아무 것도 안 가져 왔다,오늘 아무 것도 안 가져 왔다,1
끼 부리는 사람 어때?,나 부담스러워하면 어쩌지?,0
여자친구의 감정기복이 너무 심해.,여자친구의 감정기복이 너무 심해.,1
언젠가는 나를 좋아해 주는 사람 있겠지?,나 좋아해주는 사람 있겠지?,1
썸남이랑 끝인 것 같아. 촉이 와.,썸남이랑 끝인 것 같아. 촉이 와.,1
내 친구에게 내 험담을 하다니,내 지인한테 내 험담했대,1
덕수궁 돌담길 따라서 둘이 걸었어.,덕수궁 돌담길 걸었어,1
남친에 대한 불신이 자꾸 들어,남친 자꾸 불신하게 돼,1
쌍커풀 해볼까,쌍커풀 해볼까,1
남자친구를 질리게하는 행동들이 뭐가 있어?,남자친구의 전여자친구가 너무 이뻐서 비교돼.,0
이젠 포기가 되네,이혼을 준비중인 부부라면,0
부모님이 내 꿈을 반대해,부모님이 내 꿈을 무시해,1
외제차 갖고 싶다,외제차 타고 싶어,1
짝남이 다른 여자를 좋아하는 걸 보니 자존감이 떨어져.,짝남이 다른 여자를 좋아하는 걸 보니 자존감이 떨어져.,1
자다가 깨서 분노,자연스럽게 헤어진 건가?,0
나 같이 예쁜 애를 왜 갈구지,나만 갈궈,1
여친이 나를 안 좋아하는데 내가 붙잡고 있는 것 같아요.,여친을 내가 붙잡고 있는 것 같아요.,1
여자친구가 자주 씻지를 않아.,여자친구가 잘 안씻어.,1
애버랜드 가고 싶어,놀이동산 가고 싶어,1
눈을 감아도 보고 싶어,대학교 고학번 선배랑 썸 타도 되나?,0
허전한게 좀 그렇다,허전해,1
감정기복,갑자기 또 힘이드네.,0
남편이 내 의견 무시해,내 친구가 내 짝남 좋아하나?,0
애니 좋아하는 사람 별로야?,애니 좋아하는 사람 별로야?,1
인터넷에서 바지 샀는데 안 맞아,인터넷 쇼핑몰에서 바지 샀는데 망함,1
썸 타던 남자가 답장이 안와,썸 타던 남자가 카톡이 안와,1
썸 어떻게 타?,썸 어떻게 타?,1
지금의 나에겐 없는 너의 일상,지난 주말부터 또 후유증이,0
뭐 입지?,오늘 뭐 입지?,1
내가 좋아하는 사람이랑 나이 차이가 많이 나는데 괜찮을까?,좋아하는 사람이랑 나이 차이 괜찮을까?,1
남자친구가 갑자기 군대간대,갑자기 남자친구가 군대간대,1
결국 헤어짐이 찾아오네,결혼 가치관 때문에 헤어졌네.,0
사랑 참,사랑에 유효기간 있는걸까,0
기프트콘으로 선물해야겠다,기프트콘 선물해볼까?,1
이제 놓아 주려고,이제 마음을 정리할 때가 된거같아,1
올해 이상해,올해 왜 이러지,1
커피 볶는 시간,커피콩 볶고 있어,1
고의는 아닌데 실수를 한 거 같아,친구한테 실수한 거 같아,1
매운 닭발 먹고 싶다.,매콤한 닭발 생각나,1
배가 너무 고파,배고파,1
회사에서도 친구가 필요해,회사에 친구가 없어,1
스트레스 주는 사람 어떻게 하지?,정신적으로 스트레스를 너무 주는데 이런 사람은 어떻게 상대해?,1
마음 비우기가 너무 힘들어,마음 정리가 안돼.,1
사표 낼까?,일 때려칠까?,1
언제쯤 벗어날 수 있을까,언젠가 나아지겠죠?,0
행복한 인생 돌싱남,행여 잃을까봐 꼭 쥐고 있어야 하는건 내 것이 아닙니다.,0
셀프웨딩 어떨꺼 같아,셀프웨딩 해볼까,1
참 소박하고 순수했던 사람.,참 허무하네.,0
게임 재미있어.,게임하고 싶어,1
남자친구가 좋은데 눈치가 없어.,남자친구가 사람은 좋은데 눈치가 없어.,1
세금 너무 많아,세금 너무 많이 내는 거 같애,1
힘내라고 말해줘,힘내야지,1
술 먹고 카드 긁었어,술 먹고 카드 너무 긁었어,1
일요일에 교회끝나고 어디 가고 싶어.,일요일에 교회만 가,1
기대했는데,나 많이 기대했는데,1
내 주제를 모르고 덤빈건가,내가 주제를 몰랐던 거지,1
나 둘다 좋아하는 것 같애,나 사랑할 준비 됐나?,0
짧은만남 긴여운,쭉 괜찮다가 오늘 갑자기 너무 보고싶고 생각나네ㅠㅠ,0
남자친구 코 완전 높아,남친 코가 높아,1
무상,무슨 말이라도 해주세요,0
먹통이야 답답하다,말이 안 통해,1
자격증 따야하나,자격증 딸까?,1
썸타다 지침,썸타다 끝났나,1
막말 최악이지,막말이 제일 나빠,1
남자친구가 연락이 없어,연락이 없어,1
썸 타는 애한테 사귀자고 해도 됨?,회사에 좋아하는 남자가 생겼어 어떡하지?,0
사랑해봤어?,사랑해 본 적 있어?,1
안경 빼니까 예뻐보여,안경 빼니까 다른 사람,1
여자친구가 집안일을 너무 안해. 나만 하는거같아.,집안일을 나만 하는거같아.,1
어장이면 어떡해,어장이면 슬플 거 같아,1
한 잔 하고 싶다,술 마시고 싶다,1
남자친구가 너무 잘해줘,남자친구가 너무 잘해줘서 좋아,1
미쳐,미치겠습니다 연락하고 싶어서,1
거짓말 했어,나한테 거짓말 좀 안 했으면,1
좋아하는 여자애가 남친 사귈 마음이 없다는데 진짜일까?,좋아하는 여자애가 남친 사귈 마음이 없다는데 진짜일까?,1
제 맘이 안별할까요?,제가 좋아하는 사람이 맘 잡고 공부해야할 것 같다고 하네요.,0
별님에게 물어 보렴,별들에게 물어봐,1
몇시간 동안 안와,날 몇시간동안이나 기다리게했어,1
스튜디오 촬영은 하지 말까?,스튜디오 촬영은 하지 말까?,1
필름 끊겼었네,술먹고 필름 끊겼어,1
나만 힘든 거였구나,나만의 착각이었나보네,0
밥 뭐 먹을까,오늘은 뭐 먹을까?,1
평일 저녁 데이트 장소 좀 추천해줘,평일 저녁 데이트 장소 추천,1
여자친구랑 피시방데이트도하고싶은데 어떻게 말을 할까?,여자친구랑 피시방데이트도 하고 싶은데 어떻게 말을 할까?,1
아 괜히 헤어지자고 했나봐,아 오늘 힘드네ㅜㅜ,0
키 작은 여자 좋아하는 남자 있나요?,키 작은 여자 좋아하는 남자 있나요?,1
밥 먹다 옷에 흘렸어,밥 먹다 흘렸어,1
다시 재회하는 경우는 기분 어떨까?,다시 한번 붙잡아도 안되네,0
좋아하는 애한테 간접적으로 고백했는데 알아 차렸을까?,좋아하는 애한테 간접적으로 고백했는데 알아 차렸을까?,1
직구로 사면 싸겠지,직구로 사야지,1
이런 나를 좋아해주는 사람이 있을까?,이런 나를 좋아해주는 사람이 있을까?,1
스트레스성 위통이,슬픈 이별.,0
둔한 편인데 이것만 예민해,다른 건 무감각한데 이건 예민해,1
아침 꼭꼭 먹어야지,아침 챙겨 먹어야지,1
썸녀가 약속 시간을 안 지킴.,약속 시간을 안 지킴.,1
미팅에서 번호 딴 애가 좋은데 뭐라고 연락을 할까?,미팅에서 만난애한테 뭐라고 연락을 할까?,1
헤어지고 1주에 한번은 뭐라도 오네,헤어지고 나서 만나기로,0
오늘 다시한번 확인사살 받고왔네ㅠ,오늘 마지막 인사하러 갑니다.,0
갈까 말까 고민 돼,갈까 말까?,1
연상이 좋아,밥 잘 사주는 예쁜 누나 어디 없나,1
차 렌트 해야겠다,렌터카 빌릴까봐,1
나도 비키니 입고 싶다,당당하게 비키니 입고 싶다,1
조별 과제 발표 하기 싫어,조별 발표 하기 싫어,1
친구같데.,카톡 보냈어,0
사내연애 비밀로 해야겠지?,비밀로 사내연애 해야 돼,1
여기까지 인듯 합니다.,여자들은 바람피고 후회할까?,0
많이 좋아했었는데 이젠 정리하려고.,좋아했었는데 이젠 맘 정리하려고.,1
지금 이감정,지나고나면 .,0
이사 왔더니 친구가 없어,지방 와서 친구가 없어,1
그래이제  결정했어,나 결정했어,1
무조건 나한테 다 맞춰주는 남자친구 변하면 어떡하지?,무조건 나한테 다 맞춰주는 남자친구 계속 그럴까,1
끝이보였던 연애,나 너한테 다시 돌아가면 받아줄꺼야?? 라는 말.,0
머리가 너무 아프네,머리 아파,1
짝남이 내가 좋아하는 거 알아버림.,짝남이 내가 좋아하는 거 알아버림.,1
짝사랑은 짝사랑으로 남는게 좋은 걸까요.,짝사랑은 짝사랑으로 남는게 좋은 걸까요.,1
짝남한테 주말에 만나자고 했는데 일 있대 계속 언제 되는지 물어봐도 되나.,짝남한테 주말에 만나자고 했는데 일 있대 계속 언제 되는지 물어봐도 되나.,1
부팅 시간 너무 오래 걸려,컴터 부팅하는데 시간이 오래걸려,1
목이 뻑뻑해,목이 칼칼해,1
좋아하는 남자애 마음을 알다가도 모르겠어.,좋아하는 남자애 마음을 알다가도 모르겠어.,0
썸만 타고 싶어,힘들어서 결혼할까봐,0
어쩌죠,억지로 붙여놓은 깨어진 도자기,0
운명적인 사랑을 했어,운명적인 사랑을 했어,1
커피 타기 귀찮아,커피 타는 거 싫다,1
주식이 떨어졌어,주식 망했어,1
열심히 공부해야지,이번 학기 열심히 살아야지,1
그 사람이 저를 그만 좋아하게 하는 방법 있을까요?,그녀는 내가 좋아하는 것을 이용하는 거야?,0
이별후 그리움이 생생한 오늘,이별후 열흘 뒤에 붙잡았어,0
놀면서 돈 벌고 싶어,일 안하고 돈 벌고 싶어,1
남친이 워커홀릭이야,남친이 일만해,1
짝사랑 하니까 감정 기복 장난 아님.,짝사랑 하니까 감정 기복 장난 아님.,1
의견 차이가 있을 때 나 너무 무시해,나 너무 무시해,1
짝남한테 같이 공부하러 가자고 해볼까?,짝남한테 같이 공부하러 가자고 해볼까?,1
이별후폭풍 왜이렇게 심하죠,이야기하고싶다,0
그만 울어야지,그사람은지금대전에있습니다,0
나를 친구로서 좋아하는 걸까?,나를 친구로서 생각하는 걸까?,1
여자친구가 돈이 너무 없어.,여자친구가 돈이 너무 없어.,1
여자친구에게 팔찌 목걸이 둘중하나만 선물할 수 있다면 뭐가 좋을까?,여자친구 선물 팔찌랑 목걸이 중에 뭐가 좋을까?,1
헤헤 용돈 받았어.,용돈 받음,1
돈이 안 모여,돈은 어떻게 모으는 거임,1
연하 어때?,연하랑 사귀는 거 어때?,1
나를 정말 사랑하는 걸까?,나를 정말 사랑하는 걸까?,1
걔도 날 좋아하는 건지 매너인지 모르겠음.,같이 있으면 너무 좋아,0
내 욕심일 뿐이지,내가 나쁜 놈이지,0
새로운 일 벌려도 될까,새로운 일 해도 될까,1
결혼 고민,결혼식 앞두고 고민이야,1
첫시작이 잘못된 만남이였을까?,최악,0
연애 처음하는 남자친구,연애는 시간낭비인듯,0
먼저 헤어지자고 하면 후폭풍 있을까?,멘붕,0
