document	label
정말감동이네여.피아노선율과 연기력 모두만점주고싶어요.아직도소름이..	1
개인 적으로 정말 잘 모르겠던 영화	0
최고♥♥ 10번은 본듯	1
천사가 부르는 듯한 목소리	1
전쟁의 잔혹함을 누구나 보게 제작한 수작	1
영화끝나 나오는 자막스토리 전달코자 사실이 권투소년 내용과 매끄럽지 못함.. 영화내내 권투연출 허무해 쌩뚱맞은 느낌.. 여기 평가글 영화 전체 내용임 다운받아 보기추천..돈내고 보기아깝.. 영화가 묵직하네 어쨓네 하는 알바글 낚이지 마시길	0
손발오글거려ㅡㅡ 별점한개도아깝네	0
보다가 우울증올뻔했네요. 등장인물 진짜 전부다 정신병자임 ㅡㅡ	0
으리있는 영화 없냐?	0
야경 뒤의 사실적인 범죄 온상. 나르시즘.	0
아 졸라 재미 업어 -_- 이게 무슨 공포영화야...............	0
그녀의 슴가만으로 충분	0
많은 매트릭스를 보여준 아주 뛰어난 영화이군요. 정말 재미있게 보앗습니다.	1
연기자들의 뛰어난 연기 ~ !	1
나무아미타불관세음보살	0
재밋어ㅋㅋㅋ	1
제임스 맥어보이 꺄 > 신고	1
이드라마역시 말도안되는 저질드라마 보면서 자꾸 짜증나서 화나게까지만드는 드라마다 아침드라마마다 죄다 왜이러는지ㅉㅉ	0
시사회보다가 뛰쳐나왔는데;;;대체 코미디랑멜로는어디에;	0
준멘루야~~ 준멘루야~~	0
연출, 연기, 시나리오, OST 나무랄데가 없다 영화예술의 극치라고 표현하고싶다	1
지순씨 있어야 더 잼 있는뎅ㅋ	1
어떻게 이 영화에 별점을 낮게 줄 수 있겠는가	1
40자로 요약하기도 어려운 저질영화. 좢이큰루니 지 잘난 홍보용 싸구려 느와르	0
Hit The Road Jack Hit the road, Jack And don't you come back No more No More No more No More ♬ ~	1
무협영화의 수작중 하나	1
최지우 최고 ㅜㅜ 사랑합니다.	1
전혀 흥분되지않는 몸매..	0
노무노무 재밌네요 러닝타임이 좀 짧은게 흠이라면 흠이지만 꾸밈없는 솔직담백한 성장이야기 최근본 영화중 가장 인상깊음	1
액션 멋지고 엔딩 훈훈~	1
별로 ...	0
콩없는 이후 1점도 아까움	0
정말 여배우들 멋있어요!@!	1
유신에 대해 배울려고 진지하게봤는데 영화가 너무 편파적이네 까는내용바께 안나옴 얼마전까지만해도 대학교에서 북한사상교육책이 뭉테기로 나왔는데 그당시에는 선동하는 몇몇 일부 빨갱이들을 추려내지못하고 속아서 불똥튄 학생, 시민들이 피해를보지않았나 싶음	0
황진미 수준 진짜 알 만하다 명량엔 9점 주고 디워엔 7점 주고 ㅋㅋㅋ 환장하겠네 진짜	0
정말 진짜 재밌어요 근데 마지막에 완다가 좀...	1
이런장르의 영화는 재미없어도 중간은 가는데 이건 진짜 재미없다	0
그래봤자 예수쟁이 미화하는데 사용하겠지	0
앞부분 짱 뒷부분 흠....	0
씹꿀잼 강추합니다ㅋㅋㅋ	1
기대한 만큼은 아니고 볼만한 정도입니다	1
초반에는 적당히 몰입감도 있고 심리적으로 압박하는 느낌이 있어 좋았는데 뒤로 갈수록 귀신이 너무 대놓고 나오는 통에 몰입력이 떨어졌다. 특히 손이 잔뜩 나오는 부분에서는 너무 웃겨서 친구랑 깔깔거리면서 봄.	0
저가 더 자이언트dvd(일반판,블루레이,3d)를 주문을했는데 아직까지도 안옵니다 *참고로(네이버 지식쇼핑에서도 주문을 해보았습니다)*	0
제발 책좀 읽어라 초딩들아....	1
진짜 반 기독교적이고 제작도 프리메이슨에서 했네, 이건 기독교를 지지해보이지만 사실 기독교를 더럽히고 연출도 너무 性적임	0
왜 사람들이 사라지는건지에 대한 내용도 없구 멀 말하고 싶은건지에 대한 내용도 없을뿐더러 억지로 그림과 맞출려는 내용도 어이가 없네요. 이런 영화는 3류 저급영화보다도 못한듯한...	0
ㅋㅋ뻔해서 넘 재미없엌ㅅ음	0
10년전에도 지금도 핵꿀잼_(≥∇≤)ノミ☆	1
결국 리얼리즘이란 무엇인가에 대한 거장의 대답	1
킬링타임 ↓ / 이름 있는 배우들 많이 나오네요 / 코미디인데 그렇게 썩 재미 있지는 않음 / 에로 영화 아님 참고	0
아라곤진짜진짜 멋져!	1
이연걸떔에 9점줌~~	1
말리크의 눈빛이 참 매력적이다..소재도 좋고..연기도 좋고..무엇보다....흡입력이 최고다.	1
오로라는 뭔가 신비한 느낌이들고 청순한 이미지의 여자가 했으면 좋겠는데 뭔가 각진 여자가 나와서 별로였던거 같아	0
이런영화는 본받을게 많다. 자기가 하고싶은게 뭔지 알고 포기하지 않는 아이들	1
살려야 한다살려야 한다살려야 한다살려야 한다	1
보다가 뛰쳐나옴~ㅠㅠ	0
보지마삼 시간이 아깝다	0
감히국내최고라고 말할수있는영화.사사로운사건플롯을 흥미진진하게구성/섬세한연출력	1
"정말 드라마 보며서 느낀건.. "" 진짜 어설프다 "" 였습니다.구성이어쩜이리도 엉성한지"	0
보는 내내 지루하고 긴장감도 없고 괴물도 안나오고?화면만 어지럽게 돌아가고 정말 재미없다	0
1편과 스토리 연개도 없고 이상해서 위에보니까 영문제목이 다름ㅡㅡ 걍 다른영화임,,	0
ㅅㄱ하셨습니다.	0
진정한스릴러너무재밋게잘봣어요유해진과진구 둘다..연기쩜	1
동물들의 따뜻함을 보여주는 영화엿어요.	1
쓰레기같은 영화 !! 이런 영화는 누가보는사람이 있나?돈주고 봐달라고 애원해도 안보겠다 남자배우들 연기 웃기다 ㅋㅋ	0
진짜 직쏘 이OO새키는 OO서도 사람가지고 노네 진짜 미칀더라이인듯 이딴거 만들지마라 빡치기만한다사람이용하는것도 한두번이지 ㅅㅂ	0
초딩때 잼있게봤음전투씬 간지ㅋ	1
평점이 높기에 기대하고 봤는데.. 위안부할머니, 국제결혼, 원폭피해, .. 가뜩이나 무거운주제들을 한번에 다루다보니, 이도저도 아닌것 같다.. 영화의전개는 과거와 현재, 할머니와 손녀, 한국과 중국을 오가다 보니 집중도 안되고..	0
요즘에 이런 영화 개봉하면 사기극으로 고소당한다.	0
내생에 최고의 영화임에 틀림없다	1
넘웃기다ㅋㅋㅋ코미디에충실한영화...이런영화보면 크다고느낀일도 우습게느껴진다! 잭에프론은 잘 성장하는듯 레오나르도 디카프리오 느낌남	1
내가 볼땐 정상이 없는 영화였지만 평점은 많이 주고 싶네.	1
여기까지는 최고였던걸로 기억한다	1
c	0
최고의 영화	1
마르퀴스, 나탈리 잊지못할이름들	1
남도의 아름다움과 은근하고 슬픈 그리고 절대적인 사랑! 또 울었습니다	1
극노잼 핵노잼 씹노잼 뿩	0
보는내내 폭력경찰로인해 기분나빴음, 결말이 뻔했지만 흥미진진했던...	1
God's Not Dead	1
도전을 했고 그 도전이 좌절된 사람들이라면 대다수가 공감 가능한 다큐. 실패한 것에 대한 아쉬움은 남지만, 후회는 없다.	1
피살자의 주변에 떨어져 있던,피묻은 칼을 집어든 손으로,먼저 옷부터 갈아입고,나중에 화장실가서 피묻은 손을 씼는다?이런것들이 무슨 추리를 하겠다고...(웃음)4교시추리영역의4는 죽을사의4인 모양이네.감독,각본,주연,제작,사망선고받음.그래서4교시추리영역	0
블랙코미디와 호러의 군더더기없는 결합.	1
아 유 죽고잡냐?	0
내 생각이 곧 영화가 된다... 누구나 예상가는한 뻔한영화... 굳이 18세로 안해도 됐을것 같은데....	0
ㅉㅉㅉ	0
뒤로 가면서 눈물을 줄줄 흘렸다.	1
흐미..안습	0
이런 지루하고 뻔뻔한 어처구니 없는 불륜쇼는 납득이 안간다	0
10점짜리 영화는아닌데 개인적으로는 평균평점 7점정도의 가치는 한다고 본다 스타일리쉬한 영화 ㅋ	1
로드리게스 감독에 타란티노 주연에 조지클루니까지? 이거 뭐 말이 필요없는 진용이야...멕시칸 좀비는 이렇다는걸 보여주는 영화다...너무 스타일리쉬해..	1
장난하나진짜..ㅋㅋㅋㅋㅋㅋㅋ존나답없어	0
아니라고 말하고싶은 유치한 일본식 연예 애니메이션..	0
조은영화	1
재밌다. 항공일에 관한 애환과 직업에 대한 디테일이 살아있다	1
긴장감 없이 답답하다.	0
달튼이 007을 맡아 약간 어색하지만 액션씬은 굿	1
1인칭 시점의 화면 구성은 독특하지만.. 답답한 느낌을 준다..	0
딸과 딸친구때문에 두고두고 화가난 영화 저런딸낳느니 안낳고 말지 못된계집	0
그나마 재미있게본영화	1
박수칠때 떠나라!!!	0
오옹오오오옹오오오오오옹 승리글핀니니니니니니닝ㄷ	1
살아계신 나의주하나님	1
템포가 느리는 건 좋다만 리듬감은 갖추고 있어야지.. 흐름도 자연스럽지 않고..	0
정말, 좋은영화에요. 진짜 감동..	1
역시 정재영 넌 영원한 나의 동치성이야	1
청순가련했던 시절 조디 포스터의 매력을 느낄 수 있습니다...^^*	1
아 정말.. 클레멘타인 이후의 최고의 명작이다..ㅠㅠ	1
이런거 왠만하면 안쓰는데... 우연히 기대없이 보게 되었어요. 근데 진짜강추요...^^	1
뻔하지만 배우 좋고 연기 좋고 괜찮은 영화	1
엑스트라했던사람입니다 하루종일 산에서 전투복입고뛰고 3만원은 너무했던거같네요..	0
영화를 보는건지 연극을 보는건지 햇갈린다고 할까나? 각본 배역 연출 3박자 모두 만족하는 한국영화	1
